"Part";"Value";"Device";"Package";"Description";"AVAILABILITY";"COMPONENT";"DESCRIPTION";"MANUFACTURER_PART_NUMBER";"MF";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"POPULARITY";"PRICE";"SPICEPREFIX";"TP_SIGNAL_NAME";"VENDOR";
"C.B1";"0.1uF";"C0603";"C0603";"CAPACITOR, American symbol";"";"06033C104JAT2A";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C.B2";"0.1uF";"C0603";"C0603";"CAPACITOR, American symbol";"";"06033C104JAT2A";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C.F9";"22uF";"C0603";"C0603";"CAPACITOR, American symbol";"";"CL10A226MO7JZNC";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C.F10";"22uF";"C0603";"C0603";"CAPACITOR, American symbol";"";"CL10A226MO7JZNC";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C.J3";"0.47uF";"C0603";"C0603";"CAPACITOR, American symbol";"";" C0603C474K4PACTU ";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C.L1";"0.1uF";"C0603";"C0603";"CAPACITOR, American symbol";"";"06033C104JAT2A";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C.L2";"0.1uF";"C0603";"C0603";"CAPACITOR, American symbol";"";"06033C104JAT2A";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C.M1";"10µF";"C3225X7R1E106K250AC";"CAP_3225";"";"";"C3225X7R1E106K250AC";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C.M2";"10µF";"C3225X7R1E106K250AC";"CAP_3225";"";"";"C3225X7R1E106K250AC";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C.M3";"56µF";"6.3MMCAP";"OSCON_SVPF_6.3MM";"";"";"APXG250ARA560MF61G";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C.M4";"56µF";"6.3MMCAP";"OSCON_SVPF_6.3MM";"";"";"APXG250ARA560MF61G";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C.M5";"47µF";"C-USC1210";"C1210";"CAPACITOR, American symbol";"";"CL32A476KOJNNNE";"";"";"";"";"";"";"";"";"6";"";"C";"";"";
"C.M6";"220µF";"WURTH875115352003";"C6CYLCAP";"";"";"875075355002";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C.M7";"0.1uF";"C0603";"C0603";"CAPACITOR, American symbol";"";"06033C104JAT2A";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C.Y1";"0.1uF";"C0603";"C0603";"CAPACITOR, American symbol";"";"06033C104JAT2A";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C.Y2";"56 nF";"C0603";"C0603";"CAPACITOR, American symbol";"";"CL10B562KB8NNNC";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C.Y3";"56 nF";"C0603";"C0603";"CAPACITOR, American symbol";"";"CL10B562KB8NNNC";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C.Y4";"0.1uF";"C0603";"C0603";"CAPACITOR, American symbol";"";"06033C104JAT2A";"";"";"";"";"";"";"";"";"";"";"";"";"";
