"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","50","311-100KCRCT-ND","RC0805FR-07100KL","RES SMD 100K OHM 1% 1/8W 0805","","50","0","0.04000","2.00"
"2","50","CR0805-JW-103ELFCT-ND","CR0805-JW-103ELF","RES SMD 10K OHM 5% 1/8W 0805","","50","0","0.01800","0.90"
"3","50","RNCP0805FTD22K1CT-ND","RNCP0805FTD22K1","RES 22.1K OHM 1% 1/4W 0805","","50","0","0.07200","3.60"
"4","25","478-3713-1-ND","06033C104JAT2A","CAP CER 0.1UF 25V X7R 0603","","25","0","0.22000","5.50"
"5","25","MMBT2222A-FDICT-ND","MMBT2222A-7-F","TRANS NPN 40V 0.6A SMD SOT23-3","","25","0","0.12300","3.08"
"6","25","455-1640-ND","B3P-VH(LF)(SN)","CONN HEADER VERT 3POS 3.96MM","","25","0","0.22700","5.68"
"7","25","399-8229-1-ND","C1210C106M4PACTU","CAP CER 10UF 16V X5R 1210","","25","0","0.29300","7.33"
"8","25","160-1423-1-ND","LTST-C171GKT","LED GREEN CLEAR CHIP SMD","","25","0","0.20100","5.03"
"9","25","311-47.5KCRCT-ND","RC0805FR-0747K5L","RES SMD 47.5K OHM 1% 1/8W 0805","","25","0","0.04000","1.00"
"10","10","P16514CT-ND","25SVPF56M","CAP ALUM POLY 56UF 20% 25V SMD","","0","10","1.02200","10.22"
"11","10","785-1221-1-ND","AOD4184A","MOSFET N-CH 40V 50A TO252","","10","0","0.55200","5.52"
"12","10","455-1639-ND","B2P-VH(LF)(SN)","CONN HEADER VERT 2POS 3.96MM","","10","0","0.17900","1.79"
"13","10","BSS84-FDICT-ND","BSS84-7-F","MOSFET P-CH 50V 130MA SOT23-3","","10","0","0.19600","1.96"
"14","10","1276-2091-1-ND","CL10B562KB8NNNC","CAP CER 5600PF 50V X7R 0603","","10","0","0.04000","0.40"
"15","10","1276-1851-1-ND","CL32A226MOJNNNE","CAP CER 22UF 16V X5R 1210","","10","0","0.32200","3.22"
"16","10","541-249TCT-ND","CRCW0805249RFKEAHP","RES SMD 249 OHM 1% 1/2W 0805","","10","0","0.21200","2.12"
"17","10","DMN5L06KDICT-ND","DMN5L06K-7","MOSFET N-CH 50V 300MA SOT23-3","","10","0","0.33300","3.33"
"18","10","LSM115JE3/TR13CT-ND","LSM115JE3/TR13","DIODE SCHOTTKY 15V 1A DO214BA","","10","0","0.94200","9.42"
"19","10","311-1.0KARCT-ND","RC0805JR-071KL","RES SMD 1K OHM 5% 1/8W 0805","","10","0","0.03500","0.35"
"20","10","732-5335-ND","61300211021","CONN HEADER R/A 2POS 2.54MM","","10","0","0.27900","2.79"
"21","10","732-6489-1-ND","875075355002","CAP ALUM POLY 220UF 20% 16V SMD","","10","0","0.95000","9.50"
"22","10","609-4616-1-ND","10118193-0001LF","CONN RCPT USB2.0 MICRO B SMD R/A","","10","0","0.40500","4.05"
"23","10","541-499TCT-ND","CRCW0805499RFKEAHP","RES SMD 499 OHM 1% 1/2W 0805","","10","0","0.21200","2.12"
"24","10","CSR0603FKR250CT-ND","CSR0603FKR250","RES 0.25 OHM 1% 1/8W 0603","","10","0","0.31900","3.19"
"25","5","1904-1023-1-ND","ESP32-WROOM-32D","WIFI MODULE 32MBITS SPI FLASH","","5","0","3.80000","19.00"
"26","10","587-1809-1-ND","LBM2016T4R7J","FIXED IND 4.7UH 270MA 780 MOHM","","10","0","0.19100","1.91"
"27","5","LTC4353CMS#PBF-ND","LTC4353CMS#PBF","IC OR CTRLR LOAD SHARE 16MSOP","","5","0","8.36000","41.80"
"28","10","MC14044BDR2GOSCT-ND","MC14044BDR2G","IC LATCH R-S QUAD P/N 16-SOIC","","10","0","0.39000","3.90"
"29","10","764-1466-1-ND","PTN0805E1002BST1","RES 10K OHM 0.1% 1/5W 0805","","10","0","0.61600","6.16"
"30","10","CKN9112CT-ND","PTS645SM43SMTR92 LFS","SWITCH TACTILE SPST-NO 0.05A 12V","","10","0","0.30000","3.00"
"31","10","YAG2631CT-ND","RC0201FR-0737K4L","RES SMD 37.4K OHM 1% 1/20W 0201","","10","0","0.04000","0.40"
"32","10","YAG3229CT-ND","RC0402FR-07768RL","RES SMD 768 OHM 1% 1/16W 0402","","10","0","0.01600","0.16"
"33","10","311-1.00MCRCT-ND","RC0805FR-071ML","RES SMD 1M OHM 1% 1/8W 0805","","10","0","0.04000","0.40"
"34","10","311-95.3KCRCT-ND","RC0805FR-0795K3L","RES SMD 95.3K OHM 1% 1/8W 0805","","10","0","0.04000","0.40"
"35","10","296-4652-1-ND","SN74AHCT125DR","IC BUF NON-INVERT 5.5V 14SOIC","","10","0","0.31000","3.10"
"36","10","497-7465-1-ND","STD2805T4","TRANS PNP 60V 5A DPAK","","10","0","0.81600","8.16"
"37","5","296-48381-1-ND","TPSM84824MOLR","DC DC CONVERTER 0.6-10V","","5","0","11.33000","56.65"
"38","10","493-2160-1-ND","UWT0J102MNL1GS","CAP ALUM 1000UF 20% 6.3V SMD","","10","0","0.36600","3.66"
"39","10","VESD16A2-03G-G3-08GICT-ND","VESD16A2-03G-G3-08","TVS DIODE SOT-323","","10","0","0.28000","2.80"
