"Part";"Value";"Device";"Package";"Description";"AVAILABILITY";"COMPONENT";"DESCRIPTION";"DIGI-KEY_PART_NUMBER";"DIGI-KEY_PURCHASE_URL";"MANUFACTURER_PART_NUMBER";"MF";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"POPULARITY";"PRICE";"SPICEPREFIX";"TP_SIGNAL_NAME";"VENDOR";
"C.BC1";"0.1uF";"C0603";"C0603";"CAPACITOR, American symbol";"";"06033C104JAT2A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C.BC2";"0.1uF";"C0603";"C0603";"CAPACITOR, American symbol";"";"06033C104JAT2A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C.BC3";"22uF";"C0603";"C0603";"CAPACITOR, American symbol";"";"CL10A226MO7JZNC";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C.BC4";"22uF";"C0603";"C0603";"CAPACITOR, American symbol";"";"CL10A226MO7JZNC";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C.BC5";"0.47uF";"C0603";"C0603";"CAPACITOR, American symbol";"";"C0603C474K4PACTU ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C.BI1";"0.1uF";"C0603";"C0603";"CAPACITOR, American symbol";"";"06033C104JAT2A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C.BI2";"0.1uF";"C0603";"C0603";"CAPACITOR, American symbol";"";"06033C104JAT2A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C.DS1";"  1000µF ";"810RADCAP";"810RADCAN";"";"";"UWT0J102MNL1GS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C.DS2*";"0.1uF";"C0603";"C0603";"CAPACITOR, American symbol";"";"06033C104JAT2A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C.DS3";"0.1uF";"C0603";"C0603";"CAPACITOR, American symbol";"";"06033C104JAT2A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C.DS4*";"0.1uF";"C0603";"C0603";"CAPACITOR, American symbol";"";"06033C104JAT2A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C.DS5";"0.1uF";"C0603";"C0603";"CAPACITOR, American symbol";"";"06033C104JAT2A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C.DS6";"22uF";"C0603";"C0603";"CAPACITOR, American symbol";"";"CL10A226MO7JZNC";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C.DS7";"10uF";"C0603";"C0603";"CAPACITOR, American symbol";"";"GRM188R61A106KE69D";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C.DS8";"22uF";"C0603";"C0603";"CAPACITOR, American symbol";"";"CL10A226MO7JZNC";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C.DS9";"0.1uF";"C0603";"C0603";"CAPACITOR, American symbol";"";"06033C104JAT2A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C.DS10";"0.1uF";"C0603";"C0603";"CAPACITOR, American symbol";"";"06033C104JAT2A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C.DS11";"0.1uF";"C0603";"C0603";"CAPACITOR, American symbol";"";"06033C104JAT2A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C.EC1";"10µF";"C3225X7R1E106K250AC";"CAP_3225";"";"";"C3225X7R1E106K250AC";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C.EC2";"10µF";"C3225X7R1E106K250AC";"CAP_3225";"";"";"C3225X7R1E106K250AC";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C.EC3";"56µF";"6.3MMCAP";"OSCON_SVPF_6.3MM";"";"";"APXG250ARA560MF61G";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C.EC4";"56µF";"6.3MMCAP";"OSCON_SVPF_6.3MM";"";"";"APXG250ARA560MF61G";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C.EC5";"47µF";"C-USC1210";"C1210";"CAPACITOR, American symbol";"";"CL32A476KOJNNNE";"";"";"";"";"";"";"";"";"";"";"6";"";"C";"";"";
"C.EC6";"220µF";"WURTH875115352003";"C6CYLCAP";"";"";"875075355002";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C.EC7";"0.1uF";"C0603";"C0603";"CAPACITOR, American symbol";"";"06033C104JAT2A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C.ESP1";"0.1uF";"C0603";"C0603";"CAPACITOR, American symbol";"";"06033C104JAT2A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C.SI1";"0.1uF";"C0603";"C0603";"CAPACITOR, American symbol";"";"06033C104JAT2A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C.SI2*";"0.1uF";"C0603";"C0603";"CAPACITOR, American symbol";"";"06033C104JAT2A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C.SI3*";"0.1uF";"C0603";"C0603";"CAPACITOR, American symbol";"";"06033C104JAT2A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C.USB1";"4.7uF";"C0603";"C0603";"CAPACITOR, American symbol";"";"CL10A475MQ8NNNC";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C.USB2";"0.1uF";"C0603";"C0603";"CAPACITOR, American symbol";"";"06033C104JAT2A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C.USB3";"0.1uF";"C0603";"C0603";"CAPACITOR, American symbol";"";"06033C104JAT2A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C.USB4";"4.7uF";"C0603";"C0603";"CAPACITOR, American symbol";"";"CL10A475MQ8NNNC";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C.USB5";"4.7 nF";"C0603";"C0603";"CAPACITOR, American symbol";"";"CC0603CRNPO9BN4R7";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C.VI1";"0.1uF";"C0603";"C0603";"CAPACITOR, American symbol";"";"06033C104JAT2A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C.VI2*";"0.1uF";"C0603";"C0603";"CAPACITOR, American symbol";"";"06033C104JAT2A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C.VI3";"0.1uF";"C0603";"C0603";"CAPACITOR, American symbol";"";"06033C104JAT2A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C.YY1";"0.1uF";"C0603";"C0603";"CAPACITOR, American symbol";"";"06033C104JAT2A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C.YY2";"56 nF";"C0603";"C0603";"CAPACITOR, American symbol";"";"CL10B562KB8NNNC";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C.YY3";"56 nF";"C0603";"C0603";"CAPACITOR, American symbol";"";"CL10B562KB8NNNC";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C.YY4";"0.1uF";"C0603";"C0603";"CAPACITOR, American symbol";"";"06033C104JAT2A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C.ZZ1";"22uF";"C0603";"C0603";"CAPACITOR, American symbol";"";"CL10A226MO7JZNC";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C.ZZ2";"10uF";"C0603";"C0603";"CAPACITOR, American symbol";"";"GRM188R61A106KE69D";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C.ZZ3";"0.1uF";"C0603";"C0603";"CAPACITOR, American symbol";"";"06033C104JAT2A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C.ZZ4";"22uF";"C0603";"C0603";"CAPACITOR, American symbol";"";"CL10A226MO7JZNC";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C.ZZ5";"0.1uF";"C0603";"C0603";"CAPACITOR, American symbol";"";"06033C104JAT2A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C.ZZ6";"0.1uF";"C0603";"C0603";"CAPACITOR, American symbol";"";"06033C104JAT2A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D.USB1";"";"LEDCHIP-LED0805";"CHIP-LED0805";"LED";"";"LTST-C171GKT";"";"";"";"";"";"";"";"";"";"";"68";"";"";"";"";
"D.VI1";"";"LEDCHIP-LED0805";"CHIP-LED0805";"LED";"";"LTST-C171GKT";"";"";"";"";"";"";"";"";"";"";"68";"";"";"";"";
"D.ZZ1";"";"LEDCHIP-LED0805";"CHIP-LED0805";"LED";"";"LTST-C171GKT";"";"";"";"";"";"";"";"";"";"";"68";"";"";"";"";
"F.DS1";"1A";"C1Q_1C1-M";"C1-M";"";"";"C1Q 1";"";"";"";"C1Q 1";"";"";"";"";"";"";"";"";"";"";"BelFuse";
"L.BC1";"33uH";"SRN5040TA-330M";"SRN5040TA";"";"";"SRN5040TA-330M";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"L.DS1";"4.7µH";"SRR4818A-XXXX";"SRR4818A-XXXX";"";"";"SRR4818A-3R9Y";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"L.ZZ1";"3.9µH";"SRR4818A-XXXX";"SRR4818A-XXXX";"";"";"SRR4818A-3R9Y";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Q.BI1";"BSS84-7-F";"BSS84-7-F";"SOT23";"";"";"BSS84-7-F";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Q.BI2";"BSS84-7-F";"BSS84-7-F";"SOT23";"";"";"BSS84-7-F";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Q.DS1";"SMD34LHE1";"SMD34LHE1";"SOD-123HE1";"";"";"SMD34LHE1-TP";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Q.DS2";"SMD34LHE1";"SMD34LHE1";"SOD-123HE1";"";"";"SMD34LHE1-TP";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Q.ESP1";"DMN5L06K-7";"DMN5L06K-7";"SOT23";"";"";"DMN5L06K-7";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
