Partlist exported from E:/freelancing/McCloud/evpr/electronics/evpr.sch at 10/10/2020 8:59 PM

Part  Value                     Device                     Package                  Description                                                                 AVAILABILITY COMPONENT            DESCRIPTION                                                                   DIGI-KEY_PART_NUMBER                     DIGI-KEY_PURCHASE_URL                                                                                                                                         MANUFACTURER_PART_NUMBER MF           MP              MPN OC_FARNELL        OC_NEWARK       PACKAGE       POPULARITY PRICE SPICEPREFIX              TP_SIGNAL_NAME VENDOR           
C.B1  0.1uF                     C0603                      C0603                    CAPACITOR, American symbol                                                               06033C104JAT2A                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
C.B2  0.1uF                     C0603                      C0603                    CAPACITOR, American symbol                                                               06033C104JAT2A                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
C.D1    1000µF                  810RADCAP                  810RADCAN                                                                                                         UWT0J102MNL1GS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
C.D2  0.1uF                     C0603                      C0603                    CAPACITOR, American symbol                                                               06033C104JAT2A                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
C.EJ1 0.1uF                     C0603                      C0603                    CAPACITOR, American symbol                                                               06033C104JAT2A                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
C.ES1 0.1uF                     C0603                      C0603                    CAPACITOR, American symbol                                                               06033C104JAT2A                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
C.ES2 0.1uF                     C0603                      C0603                    CAPACITOR, American symbol                                                               06033C104JAT2A                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
C.F1  4.7 nF                    C0603                      C0603                    CAPACITOR, American symbol                                                               CC0603CRNPO9BN4R7                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
C.F2  0.1uF                     C0603                      C0603                    CAPACITOR, American symbol                                                               06033C104JAT2A                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
C.F3  22uF                      C0603                      C0603                    CAPACITOR, American symbol                                                               CL10A226MO7JZNC                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
C.F4  10uF                      C0603                      C0603                    CAPACITOR, American symbol                                                               GRM188R61A106KE69D                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
C.F5  22uF                      C0603                      C0603                    CAPACITOR, American symbol                                                               CL10A226MO7JZNC                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
C.F6  0.1uF                     C0603                      C0603                    CAPACITOR, American symbol                                                               06033C104JAT2A                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
C.F7  0.1uF                     C0603                      C0603                    CAPACITOR, American symbol                                                               06033C104JAT2A                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
C.F8  0.1uF                     C0603                      C0603                    CAPACITOR, American symbol                                                               06033C104JAT2A                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
C.F9  22uF                      C0603                      C0603                    CAPACITOR, American symbol                                                               CL10A226MO7JZNC                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
C.F10 22uF                      C0603                      C0603                    CAPACITOR, American symbol                                                               CL10A226MO7JZNC                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
C.G1  0.1uF                     C0603                      C0603                    CAPACITOR, American symbol                                                               06033C104JAT2A                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
