,component,count,top parts,bot parts,err parts,top,bot,err
0,06033C104JAT2A,26,"['C.BI1', 'C.BI2', 'C.DS2*', 'C.DS5', 'C.DS9', 'C.DS10', 'C.DS11', 'C.ESP1', 'C.SI1', 'C.SI2*', 'C.SI3*', 'C.USB3', 'C.ZZ3', 'C.ZZ5', 'C.ZZ6']","['C.BC1', 'C.BC2', 'C.DS3', 'C.DS4*', 'C.EC7', 'C.USB2', 'C.VI1', 'C.VI2*', 'C.VI3', 'C.YY1', 'C.YY4']",[],15,11,0
1,CL10A226MO7JZNC,6,"['C.ZZ1', 'C.ZZ4']","['C.BC3', 'C.BC4', 'C.DS6', 'C.DS8']",[],2,4,0
2,C0603C474K4PACTU ,1,['C.BC5'],[],[],1,0,0
3,UWT0J102MNL1GS,1,[],['C.DS1'],[],0,1,0
4,GRM188R61A106KE69D,2,['C.ZZ2'],['C.DS7'],[],1,1,0
5,C3225X7R1E106K250AC,2,[],"['C.EC1', 'C.EC2']",[],0,2,0
6,APXG250ARA560MF61G,2,[],"['C.EC3', 'C.EC4']",[],0,2,0
7,CL32A476KOJNNNE,1,[],['C.EC5'],[],0,1,0
8,875075355002,1,['C.EC6'],[],[],1,0,0
9,CL10A475MQ8NNNC,2,['C.USB4'],['C.USB1'],[],1,1,0
10,CC0603CRNPO9BN4R7,1,['C.USB5'],[],[],1,0,0
11,CL10B562KB8NNNC,2,[],"['C.YY2', 'C.YY3']",[],0,2,0
12,LTST-C171GKT,3,"['D.USB1', 'D.VI1', 'D.ZZ1']",[],[],3,0,0
13,C1Q 1,1,['F.DS1'],[],[],1,0,0
14,SRN5040TA-330M,1,['L.BC1'],[],[],1,0,0
15,SRR4818A-3R9Y,2,['L.ZZ1'],['L.DS1'],[],1,1,0
16,BSS84-7-F,2,['Q.BI1'],['Q.BI2'],[],1,1,0
17,SMD34LHE1-TP,5,"['Q.DS1', 'Q.DS2', 'Q.ZZ1', 'Q.ZZ2', 'Q.ZZ3']",[],[],5,0,0
18,DMN5L06K-7,3,"['Q.ZZ4', 'Q.ZZ5']",['Q.ESP1'],[],2,1,0
19,MMBT2222A-7-F,2,['Q.USB2'],['Q.USB1'],[],1,1,0
20,VESD16A2-03G-G3-08,1,[],['Q.VI1'],[],0,1,0
21,SI7997DP,1,[],['Q.YY1'],[],0,1,0
22,CSD88537NDT,1,['Q.YY2'],[],[],1,0,0
23,RMCF0603FT100K,9,"['R.ESP3', 'R.ESP4', 'R.YY2', 'R.ZZ2', 'R.ZZ3']","['R.BC1', 'R.BC2', 'R.VI2', 'R.VI4']",[],5,4,0
24,CSR0603FKR250,1,[],['R.BC3'],[],0,1,0
25,RMCF0603FT47K5,3,['R.BI3'],"['R.BI1', 'R.USB6']",[],1,2,0
26,RMCF0603FT22K1,6,"['R.BI4', 'R.YY1']","['R.BI2', 'R.USB5', 'R.VI3', 'R.VI5']",[],2,4,0
27,RMCF0603FG1M00,5,"['R.DS2*', 'R.SI1*', 'R.SI2*', 'R.USB7']",['R.DS1*'],[],4,1,0
28,RG1608P-103-B-T5,1,['R.EC1'],[],[],1,0,0
29,RC0603FR-0737K4L,1,[],['R.EC2'],[],0,1,0
30,RQ73C1J768RBTD ,1,['R.EC3'],[],[],1,0,0
31,RMCF0603FT95K3,1,['R.EC4'],[],[],1,0,0
32,RMCF0603FT10K0,4,"['R.ESP2', 'R.USB2', 'R.USB3']",['R.ESP1'],[],3,1,0
33,RMCF0603FT1K00,2,['R.VI1'],['R.USB1'],[],1,1,0
34,RMCF0603JT300R,2,"['R.USB4', 'R.ZZ1']",[],[],2,0,0
35,MP2615,1,[],['U.BC1'],[],0,1,0
36,SN74AHCT125DR,1,[],['U.DS1'],[],0,1,0
37,AP63205WU-7,1,[],['U.DS2'],[],0,1,0
38,TPSM84824MOLR,1,[],['U.EC1'],[],0,1,0
39,ESP32-WROOM-32D,1,[],['U.ESP1'],[],0,1,0
40,CP2102N-A02-GQFN24R,1,[],['U.USB1'],[],0,1,0
41,LTC4353CMS#PBF,1,['U.YY1'],[],[],1,0,0
42,AP63203WU-7,1,['U.ZZ1'],[],[],1,0,0
43,B2P-VH(LF)(SN),2,[],[],"['X.BI1', 'X.BI2']",0,0,2
44,BM04B-PASS-1-TFT(LF)(SN),1,['X.DS1'],[],[],1,0,0
45,10118193-0001LF,1,['X.DS2'],[],[],1,0,0
46,PTS645SM43SMTR92 LFS,1,['X.ESP2'],[],[],1,0,0
47,BM02B-PASS-1-TFT(LF)(SN),1,['X.SI1'],[],[],1,0,0
48,BM03B-PASS-1-TFT(LF)(SN),2,['X.SI2'],['X.SI3'],[],1,1,0
49,B3P-VH(LF)(SN),1,[],[],['X.VI1'],0,0,1
